GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activité2Exercice3,main.java,Grille,0,68,0,0,0,1,0,1,0,1
Activité2Exercice3,main.java,GrilleImpl,0,310,1,39,0,55,1,27,0,8
